"cluster","country","year_first","year_last","max_distance","mean_distance","n_seqs"
"Cosmopolitan NEE_A1.1.1","c(""Hungary"", ""Poland"")",2010,2017,0.1620092402,0.069162185970284,6
"Cosmopolitan NEE_A1.1.2","c(""Estonia"", ""Finland"", ""Poland"", ""Russia"")",1986,2018,0.1600554985,0.0713958735702154,10
"Cosmopolitan NEE_B1","Hungary",2013,2013,0.172609144,0.121627774812492,2
"Cosmopolitan NEE_B1.1","Hungary",2013,2014,0.1571216557,0.0755453818874154,28
"Cosmopolitan NEE_B1.2","Hungary",2013,2014,0.1524197152,0.0817633811197738,17
"Cosmopolitan WE_A1","c(""Belgium"", ""Bosnia and Herzegovina"", ""France"", ""Germany"", ""Serbia"", ""Slovenia"")",1986,1998,0.1541904036,0.0732733712997846,13
"Cosmopolitan_A1","c(""China"", ""Ethiopia"", ""United States"")",1948,2018,0.1564946451,0.0744770369919692,14
"D1","United States",1982,2012,0.156776867,0.0716721080383883,4
"D1.1","c(""Egypt"", ""Israel"", ""Mexico"", ""United States"")",1950,2015,0.1562235476,0.072368000931348,13
"D1.1.1","United States",2009,2009,0.1608689877,0.0732239689848923,2
"D1.1.2","c(""Brazil"", ""United States"")",1986,2018,0.1629454408,0.0746028140308461,11
"E1","c(""Azerbaijan"", ""Tajikistan"")",2002,2012,0.1604355073,0.0751955727157902,2
