"country","A1","A1.1","A1.1.1","A1.1.2","A1.1.3","B1","B1.1","B1.1.1","B1.1.2","B1.1.3","B1.1.4","B1.1.5","B1.2","B1.2.1","B1.2.2","B1.3","B1.3.1","B1.4","B1.4.1","B1.6","C1","C1.1","C1.1.1","C1.1.2","C1.2","C1.3","AF1a_A1","AF1a_A1.1","AF1a_A1.1.3","AF1a_A1.6","AF1a_A1.7","AF1b_A1","AF1b_A1.1","AF1b_A1.1.1","AF1b_B1","AF1b_B1.1","AF1b_B1.1.1","AF1b_B1.2","AF1b_B1.2.1","AF1b_C1","AF1b_C1.1","AF1b_C1.1.1","AF1b_D1","AF1b_D1.1","AF1b_E1","AF4_A1","AM1_A1","AM1_A1.1","AM1_A1.1.1","AM2a_A1","AM2a_A1.1","AM2a_A1.1.1","AM2a_A1.2","AM3a_A1","AM3a_A1.1","AM3a_A1.1.1","AM3a_A1.2","AM3a_A1.2.1","AM3a_A1.3","AM3a_B1","AM3a_B1.1","AM3a_B1.1.1","AM3a_C1","AM3a_D1","AM3b_A1","AM3b_A1.1","AM3b_A1.1.1","AM4_A1","CA1_A1","CA1_A1.1","CA1_A1.1.1","CA1_A1.2","CA1_A1.2.1","CA1_A1.3","CA1_A1.4","CA1_A1.5","CA1_B1","CA1_B1.1","CA1_B1.2","CA1_B1.3","CA1_C1","CA1_D1","CA2_A1","CA2_A1.1","CA2_A1.1.1","CA2_A1.2","CA3_A1","CA3_A1.1","CA3_A1.1.1","CA3_B1","CA3_B1.1","CE_A1","EE_A1","EE_A1.1","EE_A1.1.1","EE_B1","EE_B1.1","ME1a_A1","ME1a_A1.1","ME1a_A1.1.1","ME1a_A1.2","ME1a_A1.2.1","ME1a_A1.3","ME1a_A1.4","ME1a_A1.5","ME1a_A1.6","ME1a_B1","ME1a_B1.1","ME1a_B1.1.1","ME1a_C1","ME1a_C1.1","ME1a_D1","ME2_A1","ME2_A1.1","ME2_A1.1.1","NEE_A1","NEE_A1.1","NEE_A1.1.1","NEE_A1.2","NEE_A1.2.1","WE_A1","WE_A1.1","Cosmopolitan_A1","Cosmopolitan_A1.1","Cosmopolitan_A1.1.1","Cosmopolitan_A1.2","D1","D1.1","D1.1.1","E1","E1.1","F1","G1","H1","I1","J1","K1","LAT","LON","region","radius"
"India",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,22.9250064074085,79.5937037632538,"11",5
"Madagascar",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.3561140778288,46.6911709147164,"12",4
"Israel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,13,4,0,0,0,0,13,10,10,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4849178149654,35.0038500487362,"13",104
"Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2454905847484,36.7794549063252,"14",6
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5066199997495,29.8444615131244,"15",10
"Lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9118272078199,35.8709863200164,"16",1
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,38.9907297279529,35.3921024579343,"17",43
"United Republic of Tanzania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,6,125,10,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.25773272084561,34.7529881314612,"18",226
"Russia",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2,19,9,0,1,3,13,3,0,11,0,3,0,0,0,0,4,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6925647074083,99.2165267869252,"19",111
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9272138627097,-73.0777320869748,"20",8
